layer,block_size,target_sparsity,mask_type,local_blocks,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
23,16,0.5,local_plus_oracle,2,1.0,0.4829545454545454,0.5170454545454546,0.8116741180419922,0.8361457586288452,0.9999887943267822,0.1883258819580078,0.1983482837677002,0.4334081709384918,0.9690683484077454,0.9235645532608032,0.37665173411369324,4.201263427734375,0.748046875,False,False
23,16,0.5,local_plus_oracle,4,1.0,0.4734848484848485,0.5265151515151515,0.8009039163589478,0.8191473484039307,0.9999999403953552,0.19909606873989105,0.21197627484798431,0.4922246038913727,0.9671390652656555,0.9184396862983704,0.39819207787513733,4.432389259338379,0.7431640625,False,False
23,16,0.6,random,0,0.0,0.6025432900432901,0.39745670995670995,0.385166734457016,0.36802560091018677,0.7609262466430664,0.6148332953453064,0.6152381896972656,1.0294686555862427,0.7473624348640442,0.23842580616474152,1.171630859375,14.80471134185791,0.8009469168526786,False,False
23,16,0.6,mean_pooled_score,0,0.0,0.6363636363636364,0.36363636363636365,0.6259061098098755,0.6760741472244263,0.9666831493377686,0.3740938603878021,0.43155860900878906,1.0,0.857792854309082,0.5136280655860901,0.6856877207756042,8.754782676696777,0.8217860630580357,False,False
23,16,0.6,oracle_block_mass,0,0.0,0.5757575757575757,0.42424242424242425,0.7934882044792175,0.7978103160858154,0.9988477230072021,0.2065117061138153,0.2099684327840805,0.41188502311706543,0.9743840098381042,0.9349896907806396,0.4130234122276306,4.565010070800781,0.7873971121651786,False,False
23,16,0.6,local_window,1,0.0,0.3977272727272727,0.6022727272727273,0.7121094465255737,0.8893198370933533,1.0,0.2878904938697815,0.2649950385093689,0.718061089515686,0.9163273572921753,0.7534189820289612,0.575780987739563,6.676306247711182,0.7041015625,False,False
23,16,0.6,local_window,2,0.0,0.3977272727272727,0.6022727272727273,0.7121094465255737,0.8893198370933533,1.0,0.2878904938697815,0.2649950385093689,0.718061089515686,0.9163273572921753,0.7534189820289612,0.575780987739563,6.676306247711182,0.7041015625,False,False
23,16,0.6,local_window,4,0.0,0.3977272727272727,0.6022727272727273,0.7121094465255737,0.8893198370933533,1.0,0.2878904938697815,0.2649950385093689,0.718061089515686,0.9163273572921753,0.7534189820289612,0.575780987739563,6.676306247711182,0.7041015625,False,False
23,16,0.6,local_plus_score,1,1.0,0.5757575757575757,0.42424242424242425,0.7243796586990356,0.7400378584861755,0.9978471994400024,0.2756202816963196,0.3123962879180908,0.6444826126098633,0.9374497532844543,0.8409640192985535,0.5512405633926392,6.290245056152344,0.7958984375,False,False
23,16,0.6,local_plus_score,2,1.0,0.5738636363636364,0.42613636363636365,0.7146415710449219,0.7236065864562988,0.9999800324440002,0.28535839915275574,0.3231302797794342,0.702323853969574,0.9285026788711548,0.8098937273025513,0.5707167983055115,6.513279438018799,0.794921875,False,False
