layer,block_size,target_sparsity,mask_type,oracle_gap_mass,oracle_gap_l2
23,16,0.6,aglr_adaptive_m0.90,0.01825892925262451,0.05421610176563263
23,16,0.6,aglr_adaptive_m0.90,0.022548019886016846,0.06032739579677582
23,16,0.6,aglr_adaptive_m0.90,0.006697654724121094,0.034957513213157654
23,16,0.6,aglr_adaptive_m0.90,0.09031683206558228,0.14683429896831512
23,16,0.6,aglr_adaptive_m0.90,0.07021015882492065,0.11176471412181854
23,16,0.6,aglr_adaptive_m0.90,0.04786872863769531,0.0935865193605423
23,16,0.6,aglr_adaptive_m0.90,0.032151758670806885,0.06953997910022736
23,16,0.6,aglr_adaptive_m0.95,0.02152085304260254,0.06095714867115021
23,16,0.6,aglr_adaptive_m0.95,0.008466958999633789,0.04138036072254181
23,16,0.6,aglr_adaptive_m0.95,0.01349174976348877,0.04705424606800079
23,16,0.6,aglr_adaptive_m0.95,0.0016276836395263672,0.02729317545890808
23,16,0.6,aglr_adaptive_m0.95,0.05725151300430298,0.10435895621776581
23,16,0.6,aglr_adaptive_m0.95,0.04309290647506714,0.08054487407207489
23,16,0.6,aglr_adaptive_m0.95,0.032047808170318604,0.07234306633472443
23,16,0.6,aglr_adaptive_m0.95,0.02053201198577881,0.05576150119304657
