layer,block_size,target_sparsity,mask_type,local_blocks,landmark_method,num_landmarks,score_method,local_budget_overflow_rate,oracle_gap_mass,oracle_gap_l2,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
12,16,0.5,local_plus_landmark,2,mean_plus_topk_norm,2,hybrid,0.125,0.13530409336090088,0.2599457874894142,0.4829545454545454,0.5170454545454546,0.789788544178009,0.8574477434158325,0.9994198083877563,0.21021148562431335,0.3516034483909607,0.9914470314979553,0.9775726199150085,0.9535331726074219,0.4204230010509491,5.107630729675293,0.748046875,False,False
12,16,0.5,aglr_adaptive_m0.90,1,mean_plus_max_norm,2,max,0.9174107142857143,0.1541285514831543,0.3134542778134346,0.4500811688311688,0.5499188311688312,0.7709640860557556,0.837353527545929,0.999249279499054,0.2290358990430832,0.4051119387149811,1.133379340171814,0.9669346809387207,0.9326754212379456,0.458071768283844,5.5876312255859375,0.7310965401785714,False,False
12,16,0.5,aglr_adaptive_m0.90,2,mean_plus_max_norm,2,max,0.9776785714285714,0.12300854921340942,0.24457997828722,0.42275432900432897,0.577245670995671,0.8020840883255005,0.8647098541259766,0.9996546506881714,0.19791600108146667,0.3362376391887665,0.953163206577301,0.9784141778945923,0.9552397727966309,0.39583200216293335,4.827733516693115,0.7170061383928572,False,False
12,16,0.5,aglr_adaptive_m0.90,1,mean_plus_max_norm,2,hybrid,0.9375,0.1510934829711914,0.31049979478120804,0.43912337662337664,0.5608766233766234,0.7739991545677185,0.8441048860549927,0.9992464780807495,0.2260008156299591,0.4021574556827545,1.132304310798645,0.9673408269882202,0.9323464035987854,0.4520016312599182,5.524963855743408,0.7254464285714286,False,False
12,16,0.5,aglr_adaptive_m0.90,2,mean_plus_max_norm,2,hybrid,0.9910714285714286,0.12259584665298462,0.24270636588335037,0.4196428571428571,0.5803571428571429,0.8024967908859253,0.8674708604812622,0.9996502995491028,0.19750331342220306,0.33436402678489685,0.9496930241584778,0.9790412187576294,0.9569554924964905,0.39500662684440613,4.820378303527832,0.7154017857142857,False,False
12,16,0.5,aglr_adaptive_m0.90,1,mean_plus_topk_norm,2,max,0.9174107142857143,0.14314544200897217,0.29727641493082047,0.4464285714285714,0.5535714285714286,0.7819471955299377,0.8618911504745483,0.998929500579834,0.21805275976657867,0.38893407583236694,1.1243007183074951,0.9672582745552063,0.9377401471138,0.43610551953315735,5.3158464431762695,0.7292131696428572,False,False
12,16,0.5,aglr_adaptive_m0.90,2,mean_plus_topk_norm,2,max,0.9799107142857143,0.10969161987304688,0.22091475874185562,0.4207251082251082,0.5792748917748918,0.815401017665863,0.8930215835571289,0.9995176196098328,0.18459902703762054,0.3125724196434021,0.9321523904800415,0.9794386029243469,0.959614634513855,0.3691980242729187,4.488096714019775,0.7159598214285714,False,False
12,16,0.5,aglr_adaptive_m0.90,1,mean_plus_topk_norm,2,hybrid,0.9575892857142857,0.13989436626434326,0.29846373945474625,0.4329004329004329,0.5670995670995671,0.7851982712745667,0.8674572110176086,0.999090850353241,0.21480175852775574,0.3901214003562927,1.1576606035232544,0.9669674038887024,0.9353439807891846,0.4296035170555115,5.252220630645752,0.7222377232142857,False,False
12,16,0.5,aglr_adaptive_m0.90,2,mean_plus_topk_norm,2,hybrid,1.0,0.11279565095901489,0.23050815612077713,0.4185606060606061,0.5814393939393939,0.812296986579895,0.8887700438499451,0.9995980858802795,0.18770292401313782,0.3221658170223236,0.9532514214515686,0.978751540184021,0.9583691358566284,0.37540584802627563,4.57578706741333,0.71484375,False,False
12,16,0.5,aglr_adaptive_m0.95,1,mean_plus_max_norm,2,max,0.96875,0.14739495515823364,0.30626723915338516,0.4330357142857143,0.5669642857142857,0.7776976823806763,0.8440979719161987,0.9992578625679016,0.22230230271816254,0.39792490005493164,1.125495195388794,0.9673925042152405,0.9345620274543762,0.4446046054363251,5.435367107391357,0.7223074776785714,False,False
