layer,strategy_name,group_size,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,certificate_violations,certimask_exact_match_rate,analytic_refinement_rate,actual_refinement_rate,score_error_p50,score_error_p90,score_error_p99,bound_p50,bound_p90,bound_p99,rho_p50,rho_p90,rho_p99,rho_max,score_std,abs_score_p50,abs_score_p90,abs_score_p99
6,k_only_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.01720467032967033,0.0004120879120879121,0.016792582417582417,0,1.0,0.06050824175824176,0.06050824175824176,0.006417751312255859,0.014822006225585938,0.022951899096369743,0.08301861584186554,0.11635598540306091,0.13362029194831848,12.540111541748047,70.4896011352539,731.5138549804688,118101549056.0,6.13985538482666,5.614675521850586,10.452925682067871,14.467829704284668
6,k_only_per_vector_coordinate_analytic,0,29120,0.8658653846153846,0.0196771978021978,0.001407967032967033,0.01826923076923077,0,1.0,0.1862293956043956,0.1862293956043956,0.013437986373901367,0.050247903913259506,0.08269086480140686,0.30617350339889526,0.6935536861419678,0.8093605637550354,22.3507022857666,127.31132507324219,1310.6773681640625,503976.625,6.13985538482666,5.614675521850586,10.452925682067871,14.467829704284668
6,qk_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.0176510989010989,0.0007211538461538462,0.016929945054945054,0,1.0,0.09714972527472528,0.09714972527472528,0.009398937225341797,0.023421619087457657,0.037800293415784836,0.1848822981119156,0.2612953782081604,0.30487948656082153,19.4633846282959,104.67955017089844,1123.0474853515625,191391.859375,6.13985538482666,5.614675521850586,10.452925682067871,14.467829704284668
7,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.01662087912087912,0.0002403846153846154,0.016380494505494506,0,1.0,0.0582760989010989,0.0582760989010989,0.007875442504882812,0.019525717943906784,0.03166509047150612,0.16834919154644012,0.20830553770065308,0.23209667205810547,20.481487274169922,108.50183868408203,1067.100341796875,207575973888.0,3.7327864170074463,11.346251487731934,16.02557373046875,20.222137451171875
7,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.01624313186813187,0.00017170329670329672,0.01607142857142857,0,1.0,0.0543956043956044,0.0543956043956044,0.0056304931640625,0.014151763170957565,0.022739099338650703,0.13791832327842712,0.17412135004997253,0.20206595957279205,24.07510757446289,129.78175354003906,1274.5877685546875,142796144640.0,3.7327864170074463,11.346251487731934,16.02557373046875,20.222137451171875
7,k_only_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.01507554945054945,3.434065934065934e-05,0.015041208791208792,0,1.0,0.05188873626373627,0.05188873626373627,0.004067897796630859,0.010647963732481003,0.017963791266083717,0.11934909224510193,0.15465529263019562,0.1841019243001938,28.86664581298828,152.4508056640625,1553.54541015625,151956848640.0,3.7327864170074463,11.346251487731934,16.02557373046875,20.222137451171875
7,k_only_per_vector_coordinate_analytic,0,29120,0.8658653846153846,0.02074175824175824,0.001614010989010989,0.019127747252747254,0,1.0,0.14436813186813185,0.14436813186813185,0.04369616508483887,0.10065755993127823,0.14672355353832245,0.7934628129005432,1.087939739227295,1.1851496696472168,16.20127296447754,81.61431884765625,863.90625,268905.375,3.7327864170074463,11.346251487731934,16.02557373046875,20.222137451171875
7,qk_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.01569368131868132,0.00030906593406593405,0.015384615384615385,0,1.0,0.07118818681318681,0.07118818681318681,0.006849050521850586,0.017964458093047142,0.03066260740160942,0.24861526489257812,0.3335840106010437,0.3979320526123047,35.61762237548828,194.34986877441406,1970.4403076171875,197912756224.0,3.7327864170074463,11.346251487731934,16.02557373046875,20.222137451171875
8,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.05,0.004979395604395604,0.045020604395604395,0,1.0,0.33489010989010987,0.33489010989010987,0.041663408279418945,1.0148773193359375,2.5342910289764404,1.120485782623291,3.5587682723999023,8.715442657470703,7.378657341003418,40.578582763671875,409.3999328613281,180979.734375,36.72123336791992,8.82469654083252,36.191680908203125,203.7589874267578
8,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.0435782967032967,0.003434065934065934,0.04014423076923077,0,1.0,0.22338598901098902,0.22338598901098902,0.0381932258605957,0.7167509198188782,1.88906991481781,0.7355920076370239,1.9206722974777222,5.178623676300049,6.412121772766113,35.17464065551758,336.3957214355469,279001.5625,36.72123336791992,8.82469654083252,36.191680908203125,203.7589874267578
