layer,strategy,group_size,quantized_side,certificate_type,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,refinement_rate,certimask_exact_match_rate,certificate_violations,bound_p50,bound_p90,bound_p99,margin_over_bound_p50,margin_over_bound_p90,score_error_p50,score_error_p90,score_error_p99,rho_p50,rho_p90,rho_p99,rho_max,refinement_reduction_vs_baseline,naive_mismatch_reduction_vs_baseline
7,k_only_per_group_g8_coordinate_analytic,8,k_only,analytic,29120,0.8658653846153846,0.01624313186813187,0.00017170329670329672,0.01607142857142857,0.0543956043956044,1.0,0,0.13791832327842712,0.17412135004997253,0.20206595957279205,20.07967185974121,42.0164909362793,0.0056304931640625,0.014151763170957565,0.022739099338650703,24.07510757446289,129.78175354003906,1274.5877685546875,142796144640.0,0.159375,0.006353021978021976
7,k_only_per_group_g4_coordinate_analytic,4,k_only,analytic,29120,0.8658653846153846,0.01507554945054945,3.434065934065934e-05,0.015041208791208792,0.05188873626373627,1.0,0,0.11934909224510193,0.15465529263019562,0.1841019243001938,22.9913387298584,48.32477951049805,0.004067897796630859,0.010647963732481003,0.017963791266083717,28.86664581298828,152.4508056640625,1553.54541015625,151956848640.0,0.1618818681318681,0.007520604395604395
9,baseline_per_vector_qk_coordinate_analytic,0,qk,analytic,29120,0.8658653846153846,0.025412087912087912,0.004910714285714286,0.020501373626373626,0.2830357142857143,1.0,0,1.324365258216858,1.6063114404678345,1.7600104808807373,1.823742151260376,5.143064975738525,0.07311534881591797,0.18962006270885468,0.310796856880188,17.003494262695312,89.56940460205078,955.3395385742188,140755.828125,0.0,0.0
9,qk_per_group_g32_coordinate_analytic,32,qk,analytic,29120,0.8658653846153846,0.021531593406593406,0.0032623626373626375,0.01826923076923077,0.2157967032967033,1.0,0,0.9305810928344727,1.3025550842285156,1.5933873653411865,2.543872833251953,6.1395721435546875,0.05425691604614258,0.14121532440185547,0.23286940157413483,17.24423599243164,91.00730895996094,963.0729370117188,101818.78125,0.06723901098901097,0.0038804945054945056
9,qk_per_group_g16_coordinate_analytic,16,qk,analytic,29120,0.8658653846153846,0.020673076923076922,0.0033653846153846156,0.01730769230769231,0.16857829670329672,1.0,0,0.6578680872917175,1.0391907691955566,1.2953637838363647,3.4855566024780273,8.291402816772461,0.04822850227355957,0.12379460036754608,0.2029763162136078,14.404580116271973,80.9412612915039,714.347900390625,127371.8125,0.11445741758241756,0.0047390109890109895
9,qk_per_group_g8_coordinate_analytic,8,qk,analytic,29120,0.8658653846153846,0.01971153846153846,0.002232142857142857,0.017479395604395605,0.13317307692307692,1.0,0,0.47162169218063354,0.7466920614242554,0.9341057538986206,4.880539894104004,12.013673782348633,0.03309202194213867,0.08864611387252808,0.15526726841926575,14.727690696716309,78.39106750488281,785.302978515625,208557.390625,0.14986263736263736,0.005700549450549451
9,qk_per_group_g4_coordinate_analytic,4,qk,analytic,29120,0.8658653846153846,0.018440934065934066,0.0014766483516483516,0.016964285714285713,0.10075549450549451,1.0,0,0.29995864629745483,0.5603596568107605,0.7255957126617432,7.252745628356934,17.962825775146484,0.015949249267578125,0.048958394676446915,0.11337228119373322,19.897180557250977,107.3516616821289,1222.60888671875,328219754496.0,0.18228021978021977,0.006971153846153846
9,k_only_per_vector_coordinate_analytic,0,k_only,analytic,29120,0.8658653846153846,0.020947802197802196,0.0026785714285714286,0.01826923076923077,0.21497252747252749,1.0,0,0.9540218710899353,1.260863184928894,1.4302312135696411,2.5054054260253906,7.644877910614014,0.037706613540649414,0.10547137260437012,0.17184579372406006,23.48773193359375,115.95713806152344,1100.4967041015625,1381782913024.0,0.0680631868131868,0.004464285714285716
9,k_only_per_group_g16_coordinate_analytic,16,k_only,analytic,29120,0.8658653846153846,0.018166208791208793,0.0020604395604395605,0.01610576923076923,0.08028846153846154,1.0,0,0.24294070899486542,0.2969358563423157,0.3501160144805908,9.626176834106445,28.166940689086914,0.029191970825195312,0.06747221946716309,0.1030915305018425,8.175158500671387,43.837196350097656,459.0033874511719,180243.21875,0.20274725274725275,0.007245879120879119
9,k_only_per_group_g8_coordinate_analytic,8,k_only,analytic,29120,0.8658653846153846,0.01871565934065934,0.0014423076923076924,0.01727335164835165,0.0698489010989011,1.0,0,0.19262287020683289,0.24670341610908508,0.2941046357154846,12.24825668334961,32.65132522583008,0.018868446350097656,0.05148429796099663,0.07828667759895325,10.00596809387207,62.38348388671875,625.0150146484375,225433141248.0,0.21318681318681318,0.006696428571428572
