layer,target_sparsity,mask_type,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
16,0.4,oracle_block_mass,0.004494011402130127,0.018211308866739273,0.9955059885978699,-0.018211308866739273
16,0.4,aglr_antidiagonal_logsumexp,0.014751255512237549,0.17858104035258293,0.12358951568603516,0.9662348181009293
16,0.4,aglr_antidiagonal_topk_mean,0.015059292316436768,0.17898885533213615,0.12328147888183594,0.965827003121376
16,0.5,mean_pooled_score,0.18935143947601318,1.4770971350371838,0.8017944693565369,-1.5116852521896362
16,0.5,oracle_block_mass,0.008854091167449951,0.03458811715245247,0.99114590883255,-0.03458811715245247
16,0.5,aglr_antidiagonal_logsumexp,0.028458595275878906,0.3453555814921856,0.16089284420013428,1.1317415535449982
16,0.5,aglr_antidiagonal_topk_mean,0.032247066497802734,0.35451341792941093,0.15710437297821045,1.1225837171077728
16,0.6,mean_pooled_score,0.23116612434387207,1.919193483889103,0.7560508847236633,-1.9644695520401
16,0.6,oracle_block_mass,0.0127829909324646,0.04527606815099716,0.9872170090675354,-0.04527606815099716
16,0.6,aglr_antidiagonal_logsumexp,0.04383516311645508,0.5080556645989418,0.187330961227417,1.4111378192901611
16,0.6,aglr_antidiagonal_topk_mean,0.051567792892456055,0.5277343168854713,0.17959833145141602,1.3914591670036316
20,0.3,mean_pooled_score,0.06723076105117798,0.08252980001270771,0.9083264470100403,-0.10782003402709961
20,0.3,oracle_block_mass,0.02444279193878174,0.0252902340143919,0.9755572080612183,-0.0252902340143919
20,0.3,aglr_antidiagonal_logsumexp,0.003412187099456787,0.0030081719160079956,0.06381857395172119,0.07952162809669971
20,0.3,aglr_antidiagonal_topk_mean,0.0048364996910095215,0.003851545974612236,0.06239426136016846,0.07867825403809547
20,0.4,mean_pooled_score,0.10398799180984497,0.14672596380114555,0.8545211553573608,-0.1876024454832077
20,0.4,oracle_block_mass,0.04149085283279419,0.04087648168206215,0.9585091471672058,-0.04087648168206215
20,0.4,aglr_antidiagonal_logsumexp,0.017668843269348145,0.025701355189085007,0.08631914854049683,0.12102460861206055
20,0.4,aglr_antidiagonal_topk_mean,0.018385112285614014,0.026137765496969223,0.08560287952423096,0.12058819830417633
20,0.5,mean_pooled_score,0.15178745985031128,0.2098110169172287,0.7807583212852478,-0.2740214467048645
20,0.5,oracle_block_mass,0.06745421886444092,0.0642104297876358,0.9325457811355591,-0.0642104297876358
