layer,block_size,target_sparsity,mask_type,sample_pattern,aggregation,local_blocks,hybrid_weights,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass,oracle_gap_mass,oracle_gap_l2
12,16,0.4,adaptive_hybrid_m0.95,both_diagonals,topk_mean,2,L0.45_A0.45_R0.10,1.0,0.4185606060606061,0.5814393939393939,0.8845509886741638,0.9574059247970581,0.9997296333312988,0.1154489740729332,0.17918017506599426,0.4514099359512329,0.9853945374488831,0.9728465676307678,0.2308979481458664,2.7016751766204834,0.71484375,False,False,0.0735243558883667,0.12793957442045212
12,16,0.4,adaptive_hybrid_m0.95,both_diagonals,logsumexp,2,L0.45_A0.45_R0.10,1.0,0.4185606060606061,0.5814393939393939,0.9070318341255188,0.9656906127929688,0.9997451901435852,0.09296820312738419,0.13534951210021973,0.30565690994262695,0.9865787625312805,0.9757463932037354,0.18593640625476837,2.117910146713257,0.71484375,False,False,0.05104351043701172,0.08410891145467758
12,16,0.5,dense,none,none,0,none,0.0,0.0,1.0,1.0,1.0,1.0000001192092896,1.0976302089460432e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.4990234375,False,False,-0.07490736246109009,-0.09165766090154648
12,16,0.5,random,none,none,0,none,0.0,0.5047348484848485,0.4952651515151515,0.48054131865501404,0.47274619340896606,0.936265766620636,0.5194586515426636,0.617184579372406,1.146591067314148,0.7809922099113464,0.19866493344306946,1.0054352283477783,12.661639213562012,0.7518877301897322,False,False,0.4445513188838959,0.5255269184708595
12,16,0.5,mean_pooled_score,none,none,0,none,0.0,0.5454545454545454,0.45454545454545453,0.6966168284416199,0.7645955085754395,0.995994508266449,0.3033831715583801,0.46032199263572693,1.0341315269470215,0.9107884168624878,0.8202729821205139,0.5442663431167603,7.441166877746582,0.7787039620535714,False,False,0.22847580909729004,0.36866433173418045
12,16,0.5,oracle_block_mass,none,none,0,none,0.0,0.48484848484848486,0.5151515151515151,0.9250926375389099,0.9589596390724182,0.9994905591011047,0.07490731030702591,0.09165766090154648,0.24149882793426514,0.9873741865158081,0.9766491651535034,0.14981462061405182,1.5988060235977173,0.7465711321149553,False,False,0.07490736246109009,0.09165766090154648
12,16,0.5,landmark_only,none,none,0,none,0.0,0.48484848484848486,0.5151515151515151,0.7919147610664368,0.8552440404891968,0.9986016154289246,0.208085298538208,0.3551805913448334,0.9585478901863098,0.9749462008476257,0.9479705691337585,0.416170597076416,5.042492866516113,0.7487291608537947,False,False,0.13317787647247314,0.2635229304432869
12,16,0.5,antidiagonal_only,anti_diagonal,topk_mean,0,none,0.0,0.48484848484848486,0.5151515151515151,0.8770554661750793,0.9367208480834961,0.9993593692779541,0.12294452637434006,0.17638912796974182,0.42482101917266846,0.9851884841918945,0.9672495126724243,0.2458890676498413,2.8284149169921875,0.7483040945870536,False,False,0.048037171363830566,0.08473146706819534
12,16,0.5,antidiagonal_only,anti_diagonal,logsumexp,0,none,0.0,0.48484848484848486,0.5151515151515151,0.9165590405464172,0.9549187421798706,0.9993363618850708,0.08344097435474396,0.10463301837444305,0.2729446291923523,0.9866499304771423,0.9726375341415405,0.16688194870948792,1.7977925539016724,0.7481733049665178,False,False,0.008533596992492676,0.012975357472896576
12,16,0.5,antidiagonal_only,both_diagonals,topk_mean,0,none,0.0,0.48484848484848486,0.5151515151515151,0.9162660241127014,0.9552747011184692,0.9993909001350403,0.083733931183815,0.10341129451990128,0.2786957621574402,0.9859552383422852,0.9710589647293091,0.16746786236763,1.8053483963012695,0.7484021868024553,False,False,0.008826613426208496,0.011753633618354797
12,16,0.5,antidiagonal_only,both_diagonals,logsumexp,0,none,0.0,0.48484848484848486,0.5151515151515151,0.9168992042541504,0.956576406955719,0.999383807182312,0.08310075104236603,0.10327565670013428,0.26948651671409607,0.9868678450584412,0.9722906351089478,0.16620151698589325,1.7895700931549072,0.7486964634486607,False,False,0.008193433284759521,0.011617995798587799
